detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,feature_set,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,lambda_amp_time_lr,lambda_raw_snr_ratio,lambda_waveform_reciprocal_rank,lambda_waveform_margin,lambda_sky_norm_sep,val_selected_r@10,train_pairs,train_positive,fit_predict_elapsed_s
ET,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.7795,0.8823333333333333,0.9191666666666667,0.9733333333333334,0.9881666666666666,0.9978333333333333,1.0,90,0.987,450,0.9971666666666666,900,0.9995,1.0,4.0,0.0,0.0,,,,,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.6643333333333333,0.8073333333333333,0.86,0.95,0.9766666666666667,0.9956666666666667,1.0,90,0.9743333333333334,450,0.9943333333333333,900,0.999,1.0,4.0,0.0,0.0,,,,,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.8946666666666667,0.9573333333333334,0.9783333333333334,0.9966666666666667,0.9996666666666667,1.0,1.0,90,0.9996666666666667,450,1.0,900,1.0,1.0,4.0,0.0,0.0,,,,,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.7795000000000001,0.8823333333333334,0.9191666666666667,0.9733333333333334,0.9881666666666666,0.9978333333333333,1.0,90,0.9870000000000001,450,0.9971666666666666,900,0.9995,1.0,4.0,0.0,0.0,,,,,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8928333333333334,0.964,0.9805,0.9958333333333333,0.9983333333333333,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.9778333333333333,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.828,0.9366666666666666,0.964,0.9916666666666667,0.9966666666666667,1.0,1.0,90,0.9953333333333333,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.9778333333333333,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.9576666666666667,0.9913333333333333,0.997,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.9778333333333333,,,
ET,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8928333333333334,0.964,0.9804999999999999,0.9958333333333333,0.9983333333333333,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,1.0,4.0,0.0,,0.0,0.0,4.0,0.9778333333333333,,,
ET,noisy,stage5_reranker_model_compare,logistic_regression,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0065,0.015,0.019166666666666665,0.043166666666666666,0.06133333333333333,0.11133333333333334,3036.0,90,0.0585,450,0.10666666666666667,900,0.1505,,,,,,,,,185969.0,5999.0,17.172970333136618
ET,noisy,stage5_reranker_model_compare,logistic_regression,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.0013333333333333333,0.0036666666666666666,0.005,0.013666666666666667,0.023,0.05533333333333333,4156.5,90,0.021,450,0.051333333333333335,900,0.082,,,,,,,,,185969.0,5999.0,17.172970333136618
ET,noisy,stage5_reranker_model_compare,logistic_regression,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.011666666666666667,0.026333333333333334,0.03333333333333333,0.07266666666666667,0.09966666666666667,0.16733333333333333,2140.0,90,0.096,450,0.162,900,0.219,,,,,,,,,185969.0,5999.0,17.172970333136618
ET,noisy,stage5_reranker_model_compare,logistic_regression,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.006500000000000001,0.015,0.019166666666666665,0.04316666666666667,0.06133333333333334,0.11133333333333334,3148.25,90,0.0585,450,0.10666666666666667,900,0.1505,,,,,,,,,185969.0,5999.0,17.172970333136618
ET,noisy,stage5_reranker_model_compare,hgb,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.5711666666666667,0.8126666666666666,0.8841666666666667,0.9431666666666667,0.9515,0.9678333333333333,1.0,90,0.9503333333333334,450,0.9668333333333333,900,0.9733333333333334,,,,,,,,,185969.0,5999.0,33.89140220358968
ET,noisy,stage5_reranker_model_compare,hgb,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.32866666666666666,0.6966666666666667,0.818,0.907,0.919,0.9433333333333334,3.0,90,0.9173333333333333,450,0.9413333333333334,900,0.9523333333333334,,,,,,,,,185969.0,5999.0,33.89140220358968
